node,lat,lon
245608377,12.6509908,78.6643205
263014984,12.6692771,78.6123689
313298664,12.6985971,78.6418427
313448576,12.6567693,78.6085575
313448577,12.6581377,78.608473
313448578,12.6595073,78.6087516
1775800572,12.6691479,78.6990342
1775800659,12.6605536,78.6976068
1775800664,12.7326071,78.7021562
1775800678,12.6506983,78.6939228
1775800700,12.6504649,78.6893091
1775800706,12.7242621,78.7081076
1775800724,12.7256511,78.7013288
1775800753,12.7460946,78.6976542
1775800782,12.7225501,78.7071158
1775800813,12.7233527,78.7017382
1775800856,12.6465375,78.6707808
1775800881,12.6349839,78.6975417
1775800903,12.6520535,78.6943285
1775800918,12.6449518,78.6945017
1775800947,12.6509136,78.6925593
2054840282,12.6625266,78.6102835
2054840283,12.662727,78.6105545
2054883311,12.6987027,78.6417487
2057317289,12.6373671,78.6052232
2057317299,12.6574679,78.6084719
2057317305,12.6796155,78.625107
2124822800,12.6553701,78.6019612
2124822805,12.6581889,78.6061867
2407669720,12.762038,78.6812368
2407669725,12.7665487,78.680929
2407680051,12.6683442,78.6142119
2407680059,12.6686487,78.6121713
2407680069,12.6760588,78.6239779
2407680079,12.67654,78.6138119
2407680082,12.6769722,78.6191088
2407680087,12.6789395,78.6141895
2407680093,12.6803921,78.6215622
2407680097,12.6808254,78.6209923
2407680098,12.6811662,78.6199698
2407680100,12.6812266,78.6197971
2407680105,12.6818001,78.6176266
2407680110,12.6825068,78.6167172
2407680119,12.6831281,78.6148666
2407680120,12.6832101,78.6251735
2407680127,12.6841508,78.6192788
2407680128,12.6841599,78.6178303
2407680131,12.6851022,78.6185774
2407680135,12.6861963,78.6195597
2407680142,12.6870188,78.616579
2407680147,12.6873154,78.6302808
2407680159,12.6891776,78.614051
2407680169,12.6929284,78.6185554
2407680179,12.6969992,78.6216728
2407680181,12.6982008,78.6261215
2407680187,12.6987376,78.6270375
2407680193,12.6998425,78.6232752
2407680210,12.7222811,78.6482818
2537642315,12.6624405,78.6093816
2537678185,12.6730547,78.6407441
2537678193,12.6769058,78.6339703
2537678206,12.6764688,78.6358022
2537678222,12.6847922,78.626881
2537678237,12.6701605,78.6449579
2537678244,12.6778906,78.6310667
2537678246,12.6608389,78.6497509
2537678247,12.6774893,78.6317278
2537689200,12.6894613,78.6331578
2539246453,12.7227679,78.6670611
2539246459,12.7312487,78.6782478
2539246468,12.7323937,78.6802624
2539246474,12.7324998,78.6801586
2539246475,12.7249643,78.6698328
2794990330,12.6338689,78.7009694
2794990348,12.6409464,78.6815524
2794990358,12.6452886,78.6738704
2794990387,12.6518968,78.6608692
2794990407,12.655346,78.6553523
2918324128,12.7455969,78.6993254
2918324537,12.6744109,78.6289315
2918324542,12.6777319,78.6308106
3089781247,12.6901248,78.6131898
3089781249,12.6902147,78.6130792
3089785082,12.6927773,78.6060351
3089785083,12.6927798,78.6075699
3089785085,12.6928307,78.6080442
3089785089,12.6928678,78.609431
3089785104,12.6930241,78.6021634
4271810327,12.6596597,78.608601
4271810329,12.6596771,78.6086717
4271810338,12.6584559,78.606631
5154287704,12.6810168,78.6155811
5154287709,12.6805432,78.6162382
5154287710,12.6795305,78.6152807
5154287728,12.66318,78.6095856
5154288076,12.6774161,78.6139584
5154288082,12.6737211,78.6130169
5154288083,12.672677,78.6127111
5154288097,12.6651482,78.6106834
5163095108,12.7647792,78.7054421
5163095109,12.7648426,78.7054148
5163095647,12.7593052,78.6968368
5163095679,12.7193972,78.7109041
5163096110,12.7324351,78.7021628
5163096113,12.7325183,78.7023065
5163597328,12.6333907,78.7042335
5163597331,12.6338292,78.7044749
5163597335,12.635151,78.7054753
5163597346,12.6391658,78.7102523
5163597349,12.6409821,78.7113842
5163597355,12.6404666,78.7144902
5163597375,12.6420709,78.7213594
5163597390,12.6409651,78.7254806
5163597417,12.6406393,78.7267613
5163597697,12.637831,78.7358862
5163597828,12.6322196,78.7427795
5163597834,12.6353001,78.7469637
5163597835,12.6350201,78.747763
5163597836,12.6343344,78.7475431
5163597841,12.6330624,78.7483424
5163598349,12.6341416,78.6999357
5163612623,12.6510202,78.6940683
5163612650,12.6482526,78.7076908
5163612659,12.6490273,78.7102926
5163612667,12.656281,78.6537334
5163612683,12.6329315,78.6621523
5163612696,12.6320731,78.6686271
5163612706,12.6365106,78.6704494
5163612921,12.6439436,78.6772375
5163612924,12.6431282,78.6769527
5163612931,12.642173,78.6750993
5163612937,12.6409978,78.6739486
5163612939,12.6403305,78.6736456
5163612944,12.6404796,78.6713013
5171108354,12.6504274,78.753055
5171108382,12.6358818,78.7471138
5414743590,12.6933023,78.6093047
5414743592,12.6939408,78.6091733
5414743597,12.694451,78.6086261
5414743616,12.7061079,78.6088085
5414745729,12.7045066,78.6035058
5414745788,12.703562,78.6156481
5414745802,12.7031983,78.6107531
5414745804,12.7028529,78.610222
5414745806,12.7032062,78.6114076
5414745811,12.704954,78.612754
5414745813,12.7062361,78.6130276
5414745818,12.7067804,78.61424
5414745851,12.7106868,78.6163509
5414745899,12.7208385,78.6300141
5414745928,12.7085805,78.6260471
5416199539,12.6731514,78.6252181
5416199540,12.6741875,78.6254751
5416199541,12.6754744,78.6257896
5416199550,12.6692698,78.6245209
5416199556,12.6712456,78.6247998
5416199557,12.6713529,78.6244431
5416199560,12.6730461,78.6256171
5416199561,12.6731166,78.6253443
5416199563,12.6725776,78.6273962
5416199564,12.6728994,78.6261839
5416199565,12.6739623,78.6264475
5416199566,12.6727163,78.6268169
5416199567,12.6749374,78.6273115
5416199568,12.6747263,78.6278925
5416199569,12.6736688,78.6276537
5416199570,12.6738232,78.6270368
5416199571,12.674098,78.6258727
5416199573,12.6764685,78.6228484
5416199574,12.6756697,78.6251848
5416199575,12.6743256,78.6248615
5416199576,12.6733286,78.6245745
5416199577,12.6720254,78.6242071
5416199578,12.672151,78.6236277
5416199579,12.6733914,78.6239442
5416199580,12.6744669,78.6242473
5416199581,12.6758782,78.6245497
5416199585,12.6716041,78.6238262
5416199586,12.6717402,78.6230108
5416199587,12.6722635,78.6231101
5416199588,12.6734961,78.6233541
5416199589,12.6746318,78.6236411
5416199590,12.671871,78.6223912
5416199591,12.6724048,78.6225522
5416199592,12.6735746,78.6227614
5416199593,12.6747679,78.6230054
5416199594,12.6762758,78.6233272
5416199886,12.6370825,78.6250654
5416199889,12.6368967,78.6259237
5416199899,12.6424124,78.6356185
5416199922,12.6387426,78.6316025
5416199928,12.6367841,78.6148676
5416199938,12.6384094,78.6156508
5416199953,12.6415972,78.6178073
5416199969,12.6421075,78.6215839
5416199989,12.6405267,78.627533
5416199994,12.6403776,78.6289868
5416200011,12.6373521,78.6315134
5416200013,12.6371976,78.6318272
5416200027,12.634515,78.6303037
5416200190,12.638166,78.6391845
5416200199,12.6405189,78.6379883
5416200215,12.6430209,78.6349413
